Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,1,10uF,
"C10, C11",0805,2,1000pF,
"C12, C13, C18, C19, C22, C23, C24, C25",0805,8,100nF,
"C14, C15",CP_Elec_4x5.3,2,10uF,
"C16, C17, C20, C21, C28, C29",0805,6,22uF,
"C2, C26, C27, C4, C6, C8",0805,6,470pF,
"C3, C5, C7, C9",0805,4,22nF,
"D1, D2, D3",SOD-123FL_diode,3,MBR120,
J1,DIP-28_W15.24mm_Socket,1,SID1 (DIP28-Wide-socket),
J11,PinHeader_1x02_P2.54mm_Vertical,1,GND/S1,
J12,PinHeader_1x02_P2.54mm_Vertical,1,12v/9v,
J13,PinHeader_2x01_P2.54mm_Vertical,1,A5,
J14,PinHeader_1x02_P2.54mm_Vertical,1,UART,
J16,PinHeader_1x02_P2.54mm_Vertical,1,S2/GND,
J2,DIP-28_W15.24mm_Socket,1,SID2 (DIP28-Wide-socket),
J20,3.5MM_SWITCHCRAFT_35RAPC4BHN2,1,AudioJack2_Ground_Switch,
J3,DIP-14_W7.62mm,1,1MHz Crystal,
J5,PinHeader_1x03_P2.54mm_Vertical,1,S1 6581/8580 J1,
J6,PinHeader_1x03_P2.54mm_Vertical,1,S1 6581/8580 J2,
J7,PinHeader_1x03_P2.54mm_Vertical,1,S2 6581/8580 J1,
J8,PinHeader_1x03_P2.54mm_Vertical,1,S2 6581/8580 J2,
J9,PinHeader_1x03_P2.54mm_Horizontal,1,Audio jumper,
"L1, L2",1008,2,"4,7uH 1000mA",
"Q1, Q2",SOT-23,2,MMBT2222A,
"R1, R4, R5",0805,3,10k,
R10,0805,1,"7,5k",
R11,0805,1,18k,
R12,0805,1,47k,
"R13, R14",0805,2,100k,
"R15, R2, R3, R6, R7, R8, R9",0805,7,1k,
"R16, R17",0805,2,330k,
SW1,SW_SPST_B3U-1000P_larger_pads,1,RST,
TP1,TestPoint_Pad_D1.0mm,1,GPIO14,
TP2,TestPoint_Pad_D1.0mm,1,GPIO15,
TP3,TestPoint_Pad_D1.0mm,1,GPIO26,
TP4,TestPoint_Pad_D1.0mm,1,GPIO27,
TP5,TestPoint_Pad_D1.0mm,1,GPIO28,
U1,RPi_Pico_TH_PinRows_Only,1,Pico,
"U2, U3",SOT-23-6,2,MT3608,
